occurrence_id,delta_action,baseline_definition,final_definition,baseline_mass_kg,final_mass_kg,mass_delta_kg,baseline_parent_path,final_parent_path,reason
LINK-2-1,RETAINED_UNCHANGED,DF8-R2-SHORT-LINK-001,DF8-R2-SHORT-LINK-001,0.000859,0.000859,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LINK-2-2,RETAINED_UNCHANGED,DF8-R2-SHORT-LINK-001,DF8-R2-SHORT-LINK-001,0.000859,0.000859,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LINK-3-1,RETAINED_UNCHANGED,DF8-R2-SHORT-LINK-001,DF8-R2-SHORT-LINK-001,0.000859,0.000859,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LINK-3-2,RETAINED_UNCHANGED,DF8-R2-SHORT-LINK-001,DF8-R2-SHORT-LINK-001,0.000859,0.000859,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LINK-CLIP-1-BELL,RETAINED_UNCHANGED,ROTOR-CLIP-DC-4SS,ROTOR-CLIP-DC-4SS,0.000029,0.000029,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LINK-CLIP-1-CROSSHEAD,RETAINED_UNCHANGED,ROTOR-CLIP-DC-4SS,ROTOR-CLIP-DC-4SS,0.000029,0.000029,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LINK-CLIP-2-BELL,RETAINED_UNCHANGED,ROTOR-CLIP-DC-4SS,ROTOR-CLIP-DC-4SS,0.000029,0.000029,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LINK-CLIP-2-CROSSHEAD,RETAINED_UNCHANGED,ROTOR-CLIP-DC-4SS,ROTOR-CLIP-DC-4SS,0.000029,0.000029,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LINK-CLIP-3-BELL,RETAINED_UNCHANGED,ROTOR-CLIP-DC-4SS,ROTOR-CLIP-DC-4SS,0.000029,0.000029,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LINK-CLIP-3-CROSSHEAD,RETAINED_UNCHANGED,ROTOR-CLIP-DC-4SS,ROTOR-CLIP-DC-4SS,0.000029,0.000029,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LINK-PIN-1-BELL,RETAINED_UNCHANGED,DF8-R2-LINK-PIN-004,DF8-R2-LINK-PIN-004,0.001443,0.001443,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LINK-PIN-1-CROSSHEAD,RETAINED_UNCHANGED,DF8-R2-LINK-PIN-004,DF8-R2-LINK-PIN-004,0.001443,0.001443,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LINK-PIN-2-BELL,RETAINED_UNCHANGED,DF8-R2-LINK-PIN-004,DF8-R2-LINK-PIN-004,0.001443,0.001443,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LINK-PIN-2-CROSSHEAD,RETAINED_UNCHANGED,DF8-R2-LINK-PIN-004,DF8-R2-LINK-PIN-004,0.001443,0.001443,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LINK-PIN-3-BELL,RETAINED_UNCHANGED,DF8-R2-LINK-PIN-004,DF8-R2-LINK-PIN-004,0.001443,0.001443,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LINK-PIN-3-CROSSHEAD,RETAINED_UNCHANGED,DF8-R2-LINK-PIN-004,DF8-R2-LINK-PIN-004,0.001443,0.001443,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LOCK-BUSHING-1,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-BUSHING-001,DF8-R2-AUTO-LOCK-BUSHING-001,0.000000,0.000000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LOCK-BUSHING-2,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-BUSHING-001,DF8-R2-AUTO-LOCK-BUSHING-001,0.000000,0.000000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LOCK-BUSHING-3,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-BUSHING-001,DF8-R2-AUTO-LOCK-BUSHING-001,0.000000,0.000000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LOCK-DOG-1,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-DOG-001,DF8-R2-AUTO-LOCK-DOG-001,0.000008,0.000008,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LOCK-DOG-2,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-DOG-001,DF8-R2-AUTO-LOCK-DOG-001,0.000008,0.000008,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LOCK-DOG-3,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-DOG-001,DF8-R2-AUTO-LOCK-DOG-001,0.000008,0.000008,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LOCK-SPRING-1,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-SPRING-001,DF8-R2-AUTO-LOCK-SPRING-001,0.000003,0.000003,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
LOCK-SPRING-2,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-SPRING-001,DF8-R2-AUTO-LOCK-SPRING-001,0.000003,0.000003,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
LOCK-SPRING-3,RETAINED_UNCHANGED,DF8-R2-AUTO-LOCK-SPRING-001,DF8-R2-AUTO-LOCK-SPRING-001,0.000003,0.000003,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
LOOP-STRIP,ADDED,N/A,DF8-SHORT14-LOOP-STRIP-001,0.000000,0.012000,0.012000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
MANIFOLD-CARRIER-SCREW-1,REMOVED,SSCF-M3-6-A4,N/A,0.000710,0.000000,-0.000710,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
MANIFOLD-CARRIER-SCREW-2,REMOVED,SSCF-M3-6-A4,N/A,0.000710,0.000000,-0.000710,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
MANIFOLD-CARRIER-SCREW-3,REMOVED,SSCF-M3-6-A4,N/A,0.000710,0.000000,-0.000710,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
MANIFOLD-CARRIER-SCREW-4,REMOVED,SSCF-M3-6-A4,N/A,0.000710,0.000000,-0.000710,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
MANIFOLD-FEED-CLAMP-1,REMOVED,DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001,N/A,0.000154,0.000000,-0.000154,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
MANIFOLD-FEED-CLAMP-2,REMOVED,DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001,N/A,0.000154,0.000000,-0.000154,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
MANIFOLD-FEED-CLAMP-3,REMOVED,DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001,N/A,0.000154,0.000000,-0.000154,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
MANUAL-PULL-LANYARD,ADDED,N/A,DF8-SHORT14-MANUAL-PULL-LANYARD-001,0.000000,0.008000,0.008000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
MANUAL-PULL-TAB,ADDED,N/A,DF8-SHORT14-MANUAL-PULL-TAB-001,0.000000,0.018000,0.018000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
NOSE-001,RETAINED_UNCHANGED,DF8-R2-NOSE-001,DF8-R2-NOSE-001,2.217316,2.217316,0.000000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,Source occurrence retained
NOSE-BALLAST-TAPER-PIN-001,RETAINED_UNCHANGED,HTP-3-30-A1,HTP-3-30-A1,0.002033,0.002033,0.000000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,Source occurrence retained
PACK-ATTACHMENT-COLLAR-1,ADDED,N/A,DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,0.000000,0.005334,0.005334,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
PACK-ATTACHMENT-COLLAR-2,ADDED,N/A,DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,0.000000,0.005334,0.005334,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
PACK-ATTACHMENT-WEBBING-1,ADDED,N/A,DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,0.000000,0.028000,0.028000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-ATTACHMENT-WEBBING-2,ADDED,N/A,DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,0.000000,0.028000,0.028000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-EDGE-BAND-1,ADDED,N/A,DF8-SHORT14-PACK-EDGE-BAND-001,0.000000,0.020000,0.020000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-EDGE-BAND-2,ADDED,N/A,DF8-SHORT14-PACK-EDGE-BAND-001,0.000000,0.020000,0.020000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-RADIAL-TIE-1-1,ADDED,N/A,DF8-SHORT14-PACK-RADIAL-TIE-1-1,0.000000,0.004000,0.004000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-RADIAL-TIE-1-2,ADDED,N/A,DF8-SHORT14-PACK-RADIAL-TIE-1-2,0.000000,0.004000,0.004000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-RADIAL-TIE-1-3,ADDED,N/A,DF8-SHORT14-PACK-RADIAL-TIE-1-3,0.000000,0.004000,0.004000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-RADIAL-TIE-2-1,ADDED,N/A,DF8-SHORT14-PACK-RADIAL-TIE-2-1,0.000000,0.004000,0.004000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-RADIAL-TIE-2-2,ADDED,N/A,DF8-SHORT14-PACK-RADIAL-TIE-2-2,0.000000,0.004000,0.004000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PACK-RADIAL-TIE-2-3,ADDED,N/A,DF8-SHORT14-PACK-RADIAL-TIE-2-3,0.000000,0.004000,0.004000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
PIVOT-BUSH-1-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-BUSH-008,DF8-R2-PIVOT-BUSH-008,0.000009,0.000009,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
PIVOT-BUSH-1-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-BUSH-008,DF8-R2-PIVOT-BUSH-008,0.000009,0.000009,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
PIVOT-BUSH-2-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-BUSH-008,DF8-R2-PIVOT-BUSH-008,0.000009,0.000009,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
PIVOT-BUSH-2-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-BUSH-008,DF8-R2-PIVOT-BUSH-008,0.000009,0.000009,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
PIVOT-BUSH-3-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-BUSH-008,DF8-R2-PIVOT-BUSH-008,0.000009,0.000009,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
PIVOT-BUSH-3-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-BUSH-008,DF8-R2-PIVOT-BUSH-008,0.000009,0.000009,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
PIVOT-CARRIER-1,RETAINED_MODIFIED_DEFINITION,DF8-R2-PIVOT-CARRIER-001,DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,0.002707,0.001354,-0.001353,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Definition transformed for the SHORT14 configuration
PIVOT-CARRIER-1-SECONDARY,ADDED,N/A,DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,0.000000,0.001353,0.001353,N/A,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,New SHORT14/external-buoy occurrence
PIVOT-CARRIER-2,RETAINED_MODIFIED_DEFINITION,DF8-R2-PIVOT-CARRIER-001,DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,0.002707,0.001354,-0.001353,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Definition transformed for the SHORT14 configuration
PIVOT-CARRIER-2-SECONDARY,ADDED,N/A,DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,0.000000,0.001353,0.001353,N/A,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,New SHORT14/external-buoy occurrence
PIVOT-CARRIER-3,RETAINED_MODIFIED_DEFINITION,DF8-R2-PIVOT-CARRIER-001,DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,0.002707,0.001354,-0.001353,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Definition transformed for the SHORT14 configuration
PIVOT-CARRIER-3-SECONDARY,ADDED,N/A,DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,0.000000,0.001353,0.001353,N/A,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,New SHORT14/external-buoy occurrence
PIVOT-CLIP-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-SPIRAL-RING-008,DF8-R2-PIVOT-SPIRAL-RING-008,0.000095,0.000095,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
PIVOT-CLIP-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-SPIRAL-RING-008,DF8-R2-PIVOT-SPIRAL-RING-008,0.000095,0.000095,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
PIVOT-CLIP-3,RETAINED_UNCHANGED,DF8-R2-PIVOT-SPIRAL-RING-008,DF8-R2-PIVOT-SPIRAL-RING-008,0.000095,0.000095,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
PIVOT-PIN-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-PIN-008,DF8-R2-PIVOT-PIN-008,0.008672,0.008672,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
PIVOT-PIN-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-PIN-008,DF8-R2-PIVOT-PIN-008,0.008672,0.008672,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
PIVOT-PIN-3,RETAINED_UNCHANGED,DF8-R2-PIVOT-PIN-008,DF8-R2-PIVOT-PIN-008,0.008672,0.008672,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
PIVOT-WASHER-1-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-WASHER-008,DF8-R2-PIVOT-WASHER-008,0.000014,0.000014,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
PIVOT-WASHER-1-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-WASHER-008,DF8-R2-PIVOT-WASHER-008,0.000014,0.000014,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
PIVOT-WASHER-2-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-WASHER-008,DF8-R2-PIVOT-WASHER-008,0.000014,0.000014,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
PIVOT-WASHER-2-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-WASHER-008,DF8-R2-PIVOT-WASHER-008,0.000014,0.000014,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
PIVOT-WASHER-3-1,RETAINED_UNCHANGED,DF8-R2-PIVOT-WASHER-008,DF8-R2-PIVOT-WASHER-008,0.000014,0.000014,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
PIVOT-WASHER-3-2,RETAINED_UNCHANGED,DF8-R2-PIVOT-WASHER-008,DF8-R2-PIVOT-WASHER-008,0.000014,0.000014,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
PULL-TAB-KEEPER,ADDED,N/A,DF8-SHORT14-PULL-TAB-KEEPER-001,0.000000,0.010000,0.010000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
PUNCTURE-HEAD-1,REMOVED,DF8-R2-PUNCTURE-HEAD-001,N/A,0.005045,0.000000,-0.005045,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
PUNCTURE-HEAD-2,REMOVED,DF8-R2-PUNCTURE-HEAD-001,N/A,0.005045,0.000000,-0.005045,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
PUNCTURE-HEAD-3,REMOVED,DF8-R2-PUNCTURE-HEAD-001,N/A,0.005045,0.000000,-0.005045,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
PUNCTURE-HEAD-4,REMOVED,DF8-R2-PUNCTURE-HEAD-001,N/A,0.005045,0.000000,-0.005045,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
RECOVERY-HARDPOINT-RING,ADDED,N/A,DF8-SHORT14-RECOVERY-HARDPOINT-RING-001,0.000000,0.030210,0.030210,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
