component_name,part_number,function,quantity,exact_location,selection_basis,location_orientation_basis,load_pressure_travel_environment_requirement,rating_or_calculated_capacity,interface_and_attachment,clearances,tolerance_requirements,assembly_access,service_reset_access,material_compatibility,mass_cg_effect,applicable_analysis,evidence,verification_status
BALLAST-AFT-FACE_TO_ARM-CARRIER_STRUCTURAL_TRANSITION_RING_TI,DF8-SHORT14-BALLAST-CARRIER-TRANSITION-RING-001,BALLAST-AFT-FACE TO ARM-CARRIER STRUCTURAL TRANSITION RING,1,Forward_Body_Assembly/BALLAST-AFT-FACE_TO_ARM-CARRIER_STRUCTURAL_TRANSITION_RING_TI: X -25.300..25.300 mm; Y -26.054..26.054 mm; Z 336.000..344.000 mm,FORWARD_BALLAST_AFT_FACE is the exact BALLAST-001 planar face at Z=336.000 mm; ring spans Z=336.000..344.000 mm. Continuous corridors conservatively contain the exact source-derived 5-degree probe envelope from 0..55 degrees; the independent 1-degree motion gate remains the acceptance authority.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,LASER_WELDED_RING_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.025715400129644583 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",FORWARD_BALLAST_AFT_FACE is the exact BALLAST-001 planar face at Z=336.000 mm; ring spans Z=336.000..344.000 mm. Continuous corridors conservatively contain the exact source-derived 5-degree probe envelope from 0..55 degrees; the independent 1-degree motion gate remains the acceptance authority.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
BUOY-MOUNTED_INLET_MANIFOLD_WITH_INFLATOR_THREAD_INTERFACE_SS,DF8-SHORT14-BUOY-INLET-MANIFOLD-001,BUOY-MOUNTED INLET MANIFOLD WITH INFLATOR THREAD INTERFACE,1,Shortened_Aft_Body_External_Buoy_Assembly/Buoy_Mounted_Automatic_Manual_Inflation_Assembly/BUOY-MOUNTED_INLET_MANIFOLD_WITH_INFLATOR_THREAD_INTERFACE_SS: X 44.000..55.000 mm; Y -5.200..5.200 mm; Z 1482.800..1493.200 mm,Swiss turn; passivate; RF-patch clamp and leak proof; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,CLAMPED_AND_RF_PATCH_CAPTURED (DOF LATER_PHASE_BUOY_MOTION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,316 stainless steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,0.004987341169426868 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
BUOY_INLET_RF-WELDED_REINFORCEMENT_PATCH_TPU,DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,BUOY INLET RF-WELDED REINFORCEMENT PATCH,1,Shortened_Aft_Body_External_Buoy_Assembly/Buoy_Mounted_Automatic_Manual_Inflation_Assembly/BUOY_INLET_RF-WELDED_REINFORCEMENT_PATCH_TPU: X 44.400..45.600 mm; Y -29.000..29.000 mm; Z 1453.000..1523.000 mm,"Multi-ply RF weld; leak proof and pull proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_MULTI_PLY_PATCH (DOF FLEXIBLE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon laminate; Clean RF-welded membrane; trimmed sealed edges,0.026 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_01_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-01,60 L BUOY PANEL 01 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_01_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X 39.264..44.200 mm; Y -16.199..16.199 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_02_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-02,60 L BUOY PANEL 02 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_02_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X 16.827..40.534 mm; Y 16.827..40.534 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_03_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-03,60 L BUOY PANEL 03 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_03_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X -16.199..16.199 mm; Y 39.264..44.200 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_04_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-04,60 L BUOY PANEL 04 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_04_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X -40.534..-16.827 mm; Y 16.827..40.534 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_05_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-05,60 L BUOY PANEL 05 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_05_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X -44.200..-39.264 mm; Y -16.199..16.199 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_06_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-06,60 L BUOY PANEL 06 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_06_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X -40.534..-16.827 mm; Y -40.534..-16.827 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_07_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-07,60 L BUOY PANEL 07 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_07_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X -16.199..16.199 mm; Y -44.200..-39.264 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
60_L_BUOY_PANEL_08_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,DF8-SHORT14-BUOY-PANEL-08,60 L BUOY PANEL 08 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/60_L_BUOY_PANEL_08_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU: X 16.827..40.534 mm; Y -40.534..-16.827 mm; Z 1387.000..1587.000 mm,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,RF_WELDED_GORE_SEAMS (DOF FLEXIBLE MEMBRANE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,TPU-coated nylon; Clean RF-welded membrane; trimmed sealed edges,0.02375 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_LEFT,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,CORDURA PEEL-OPEN BREAKAWAY FLAP LEFT,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_LEFT: X -8.196..46.483 mm; Y 7.988..47.200 mm; Z 1368.000..1606.000 mm,"Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,STITCHED_HINGE_AND_HOOK_LOOP_BREAKAWAY (DOF FLEXIBLE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1000D Cordura nylon with polyurethane coating; Per controlled drawing,0.065 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.","Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_RIGHT,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,CORDURA PEEL-OPEN BREAKAWAY FLAP RIGHT,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_RIGHT: X -47.911..8.448 mm; Y 8.240..48.650 mm; Z 1368.000..1606.000 mm,"Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,STITCHED_HINGE_AND_HOOK_LOOP_BREAKAWAY (DOF FLEXIBLE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1000D Cordura nylon with polyurethane coating; Per controlled drawing,0.065 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.","Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_LEFT_PANEL_WITH_DRAINAGE_GAPS,DF8-SHORT14-CORDURA-CRADLE-LEFT-001,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE LEFT PANEL WITH DRAINAGE GAPS,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_LEFT_PANEL_WITH_DRAINAGE_GAPS: X -43.998..-0.000 mm; Y -45.550..-11.479 mm; Z 1368.000..1606.000 mm,Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,WEBBING_RETAINED_CRADLE (DOF FLEXIBLE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1000D Cordura nylon with polyurethane coating; Per controlled drawing,0.0575 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_RIGHT_PANEL_WITH_DRAINAGE_GAPS,DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE RIGHT PANEL WITH DRAINAGE GAPS,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_RIGHT_PANEL_WITH_DRAINAGE_GAPS: X -0.000..43.998 mm; Y -45.550..-11.479 mm; Z 1368.000..1606.000 mm,Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,WEBBING_RETAINED_CRADLE (DOF FLEXIBLE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1000D Cordura nylon with polyurethane coating; Per controlled drawing,0.0575 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
ONE-PIECE_SIX-CLEVIS_GUIDED_COMMON_CROSSHEAD_WITHOUT_BOOLEAN_DEBRIS_SS,DF8-SHORT14-CROSSHEAD-001,ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD WITHOUT BOOLEAN DEBRIS,1,Arm_Activation_Powertrain_Assembly/ONE-PIECE_SIX-CLEVIS_GUIDED_COMMON_CROSSHEAD_WITHOUT_BOOLEAN_DEBRIS_SS: X -19.000..22.200 mm; Y -21.626..21.626 mm; Z 378.526..387.526 mm,Source interface datums retained; two sub-1 mm3 Boolean-debris solids removed and retained cheeks joined inside the source envelope.,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,GUIDED_TRANSLATION (DOF 1 AXIAL TRANSLATION),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.01232918785989715 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",Source interface datums retained; two sub-1 mm3 Boolean-debris solids removed and retained cheeks joined inside the source envelope.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
SHORTENED_ANALYTIC_CYLINDRICAL_FIXED_BODY_SECTOR_TI,DF8-SHORT14-FIXED-SECTOR-001,SHORTENED ANALYTIC CYLINDRICAL FIXED BODY SECTOR,2,Arm_Activation_Powertrain_Assembly/SHORTENED_ANALYTIC_CYLINDRICAL_FIXED_BODY_SECTOR_TI_01: X 0.422..24.429 mm; Y 12.464..28.496 mm; Z 344.000..733.400 mm | Arm_Activation_Powertrain_Assembly/SHORTENED_ANALYTIC_CYLINDRICAL_FIXED_BODY_SECTOR_TI_02: X -28.500..-21.166 mm; Y -13.817..13.817 mm; Z 344.000..733.400 mm,Hot form and 5-axis trim; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,WELDED_TO_LONGERON (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.17781369911265105 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
WET-RATED_HOOK_CLOSURE_STRIP,DF8-SHORT14-HOOK-STRIP-001,WET-RATED HOOK CLOSURE STRIP,1,Shortened_Aft_Body_External_Buoy_Assembly/Aft_Buoy_Breakaway_Wrap_CORDURA/WET-RATED_HOOK_CLOSURE_STRIP: X -8.231..4.955 mm; Y 46.483..47.400 mm; Z 1380.000..1594.000 mm,Sew to reinforced flap with peel-axis orientation; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,SEWN_TO_LEFT_FLAP (DOF FLEXIBLE),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Nylon hook-and-loop; Per controlled drawing,0.012 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
